poblacion;provincia
Alfaz Del Pí                             ;Alicante              
Alicante                                 ;Alicante              
Almoradí                                 ;Alicante              
Altea                                    ;Alicante              
Aspe                                     ;Alicante              
Bañeres                                  ;Alicante              
Benejuzar                                ;Alicante              
Benidorm                                 ;Alicante              
Benissa                                  ;Alicante              
Cabo Huertas                             ;Alicante              
Callosa De Segura                        ;Alicante              
Callosa Segura                           ;Alicante              
Calpe                                    ;Alicante              
Calpe/Calp                               ;Alicante              
Campello                                 ;Alicante              
Castalla                                 ;Alicante              
Cocentaina                               ;Alicante              
Crevillent                               ;Alicante              
Crevillente                              ;Alicante              
Dehesa De Campoamor                      ;Alicante              
Denia                                    ;Alicante              
El Altet                                 ;Alicante              
El Campello                              ;Alicante              
El Vergel                                ;Alicante              
El Verger                                ;Alicante              
Elche                                    ;Alicante              
Elche (Alicante)                         ;Alicante              
Elche-Alicante                           ;Alicante              
Elche/Elx                                ;Alicante              
Elda                                     ;Alicante              
Finestrat                                ;Alicante              
Gata De Gorgos                           ;Alicante              
Guardamar                                ;Alicante              
Guardamar Del Segura                     ;Alicante              
Ibi                                      ;Alicante              
Javea                                    ;Alicante              
Novelda                                  ;Alicante              
Ondara                                   ;Alicante              
Orihuela                                 ;Alicante              
Orihuela Costa                           ;Alicante              
Pedreguer                                ;Alicante              
Petrer                                   ;Alicante              
Petrer-Elda                              ;Alicante              
Pilar De La Horadada                     ;Alicante              
Playa Del Arenal (Javea)                 ;Alicante              
Polop                                    ;Alicante              
San Juan                                 ;Alicante              
San Juan De Alicante                     ;Alicante              
San Vicente                              ;Alicante              
San Vicente De Raspeig                   ;Alicante              
San Vicente Del Raspeig                  ;Alicante              
Sant Joan D'Alacant                      ;Alicante              
Sant Vicent Del Raspeig                  ;Alicante              
Santa Faz                                ;Alicante              
Santa Pola                               ;Alicante              
St. Vicente Del Raspeig                  ;Alicante              
Torrevieja                               ;Alicante              
Villajoyosa                              ;Alicante              
Villena                                  ;Alicante              
Adra                                     ;Almeria               
Aguadulce                                ;Almeria               
Albox                                    ;Almeria               
Almería                                  ;Almeria               
Antas                                    ;Almeria               
Benahadux                                ;Almeria               
Berja                                    ;Almeria               
Campohermoso                             ;Almeria               
Cuevas De Almanzora                      ;Almeria               
Cuevas Del Almanzora                     ;Almeria               
Ejido (El)                               ;Almeria               
El Ejido                                 ;Almeria               
Garrucha                                 ;Almeria               
Huercal - Overa                          ;Almeria               
Huércal De Almería                       ;Almeria               
Huercal Overa                            ;Almeria               
Mojacar                                  ;Almeria               
Mojácar Playa                            ;Almeria               
Olula Del Río                            ;Almeria               
Puente Del Río-Adra                      ;Almeria               
Roquetas De Mar                          ;Almeria               
S.Mª Del Aguila-El Ejido                 ;Almeria               
Vera                                     ;Almeria               
Arriondas                                ;Asturias              
Asturias                                 ;Asturias              
Avilés                                   ;Asturias              
Áviles- Asturias                         ;Asturias              
Blimea                                   ;Asturias              
C. Narcea                                ;Asturias              
Cabañaquinta                             ;Asturias              
Candas                                   ;Asturias              
Cangas Del Narcea                        ;Asturias              
Cangas Narcea                            ;Asturias              
Cangas Onis                              ;Asturias              
Colloto                                  ;Asturias              
Colunga                                  ;Asturias              
Corbera                                  ;Asturias              
Corvera                                  ;Asturias              
Corvera De Asturias                      ;Asturias              
Cudillero                                ;Asturias              
El Entrego                               ;Asturias              
Gijón                                    ;Asturias              
Grado                                    ;Asturias              
Granda (Siero)                           ;Asturias              
Granda-Siero                             ;Asturias              
Infiesto                                 ;Asturias              
La Corredoria                            ;Asturias              
La Felguera                              ;Asturias              
Langreo                                  ;Asturias              
Laviana                                  ;Asturias              
Llanera                                  ;Asturias              
Llanes                                   ;Asturias              
Luanco                                   ;Asturias              
Luarca                                   ;Asturias              
Lugonés                                  ;Asturias              
Lugones-Siero                            ;Asturias              
Mieres                                   ;Asturias              
Moreda (Aller)                           ;Asturias              
Nava                                     ;Asturias              
Navia                                    ;Asturias              
Noreña                                   ;Asturias              
Oviedo                                   ;Asturias              
Paredes-Siero                            ;Asturias              
Piedras Blancas                          ;Asturias              
Pola De Laviana                          ;Asturias              
Pola De Lena                             ;Asturias              
Pola De Siero                            ;Asturias              
Pola Siero                               ;Asturias              
Porceyo (Gijon)                          ;Asturias              
Posada De Llanera                        ;Asturias              
Posada De Llanes                         ;Asturias              
Posada Llanera                           ;Asturias              
Pravia                                   ;Asturias              
Raices Nuevo                             ;Asturias              
Ribadesella                              ;Asturias              
S.J. La Arena                            ;Asturias              
Salas                                    ;Asturias              
Salinas                                  ;Asturias              
Sama De Langreo                          ;Asturias              
San Claudio                              ;Asturias              
San Martin Del Rey Aurelio               ;Asturias              
Serantes-Tapia De Casariego              ;Asturias              
Siero                                    ;Asturias              
Sotrondio                                ;Asturias              
Tapia Casarieg                           ;Asturias              
Tapia De Casariego                       ;Asturias              
Tineo                                    ;Asturias              
Trasona                                  ;Asturias              
Trasona - Aviles                         ;Asturias              
Trasona Aviles                           ;Asturias              
Vegadeo                                  ;Asturias              
Villaviciosa                             ;Asturias              
Arenas De San Pedro                      ;Avila                 
Arevalo                                  ;Avila                 
Ávila                                    ;Avila                 
Candeleda                                ;Avila                 
Espinosa De Los Caballeros               ;Avila                 
Sotillo De La Adrada                     ;Avila                 
Almendralejo                             ;Badajoz               
Azuaga                                   ;Badajoz               
Badajoz                                  ;Badajoz               
Castuera                                 ;Badajoz               
Don Benito                               ;Badajoz               
Jerez De Los Caballeros                  ;Badajoz               
Llerena                                  ;Badajoz               
Mérida                                   ;Badajoz               
Montijo                                  ;Badajoz               
Olivenza                                 ;Badajoz               
San Roque                                ;Badajoz               
San Vicente De Alcántara- Badajoz        ;Badajoz               
Talarrubias (Badajoz)                    ;Badajoz               
Talavera La Real                         ;Badajoz               
Villafranca De Los Barros                ;Badajoz               
Villanueva De La Serena                  ;Badajoz               
Zafra                                    ;Badajoz               
Alcudia                                  ;Baleares              
Arenal De Llucmajor                      ;Baleares              
Cala Millor                              ;Baleares              
Calviá                                   ;Baleares              
Can Pastilla                             ;Baleares              
Ciudatella                               ;Baleares              
Ciutadella De Menorca                    ;Baleares              
Coll De Rabassa                          ;Baleares              
Cuitadella De Menorca                    ;Baleares              
Eivissa                                  ;Baleares              
Felanitx                                 ;Baleares              
Ibiza                                    ;Baleares              
Inca                                     ;Baleares              
Llucmajor                                ;Baleares              
Magalluf                                 ;Baleares              
Mahón                                    ;Baleares              
Mallorca                                 ;Baleares              
Manacor                                  ;Baleares              
Maó                                      ;Baleares              
Marratxi                                 ;Baleares              
Marratxí (Mallorca)                      ;Baleares              
Menorca                                  ;Baleares              
Palma                                    ;Baleares              
Palma De Mallorca                        ;Baleares              
Palma Mallorca                           ;Baleares              
Palmanova                                ;Baleares              
Pobla (Sa)                               ;Baleares              
Porreres (Mallorca)                      ;Baleares              
Sa Pobla                                 ;Baleares              
San Antonio - Ibiza                      ;Baleares              
San Antonio De Portmany-Ibiza            ;Baleares              
Sant Antoni                              ;Baleares              
Sant Llorenç Des Cardassar               ;Baleares              
Santa Eulalia Del Río                    ;Baleares              
Santa Eulalia Del Río, Ibiza             ;Baleares              
Santa Gertrudis-Ibiza                    ;Baleares              
Santa Margalida                          ;Baleares              
Santanyi - Mallorca                      ;Baleares              
Soller                                   ;Baleares              
Soller-Palma Mallorca                    ;Baleares              
Sta. Eularia Del Rio - Eivissa           ;Baleares              
Abrera                                   ;Barcelona             
Aiguafreda                               ;Barcelona             
Andorra                                  ;Barcelona             
Arenys De Mar                            ;Barcelona             
Badalona                                 ;Barcelona             
Barberá Del Vallés                       ;Barcelona             
Barbera V.                               ;Barcelona             
Barberà Vallés                           ;Barcelona             
Barcelona                                ;Barcelona             
Barcelona Zona Franca                    ;Barcelona             
Batlloria - Badalona                     ;Barcelona             
Bellaterra                               ;Barcelona             
Bellaterra (Cerdanyola)                  ;Barcelona             
Berga                                    ;Barcelona             
Cabrera De Mar                           ;Barcelona             
Cabrera Del Mar                          ;Barcelona             
Caldes De Montbui                        ;Barcelona             
Calella                                  ;Barcelona             
Calella De Mar                           ;Barcelona             
Canet De Mar                             ;Barcelona             
Canovelles                               ;Barcelona             
Cardedeu                                 ;Barcelona             
Castellar Del Vallés                     ;Barcelona             
Castellbisbal                            ;Barcelona             
Castelldefells                           ;Barcelona             
Castelldefels                            ;Barcelona             
Centelles                                ;Barcelona             
Cerdanyola                               ;Barcelona             
Cerdanyola Del Vallés                    ;Barcelona             
Cervelló                                 ;Barcelona             
Collbató                                 ;Barcelona             
Cornellà                                 ;Barcelona             
Cornellá De Llobregat                    ;Barcelona             
Cubelles                                 ;Barcelona             
El Masnou                                ;Barcelona             
El Prat                                  ;Barcelona             
El Prat De Llobregat                     ;Barcelona             
El Prat Del Llobregat                    ;Barcelona             
Esparraguera                             ;Barcelona             
Esparreguera                             ;Barcelona             
Esplugues                                ;Barcelona             
Esplugues De Llobregat                   ;Barcelona             
Esplugues Del Llobregat                  ;Barcelona             
Franqueses Del Valles (Les)              ;Barcelona             
Garrigas                                 ;Barcelona             
Gavá                                     ;Barcelona             
Granollers                               ;Barcelona             
Hospitalet                               ;Barcelona             
Hospitalet De Llobregat                  ;Barcelona             
Hospitalet De Llobregat (L')             ;Barcelona             
Hospitalet De Llobregat,L                ;Barcelona             
Hospitalet Del Llobregat                 ;Barcelona             
Hospitalet, L'                           ;Barcelona             
Igualada                                 ;Barcelona             
L'Hospitalet                             ;Barcelona             
L'Hospitalet De Llobregat                ;Barcelona             
L'Hospitalet Llobregat                   ;Barcelona             
La Garriga                               ;Barcelona             
La Roca Del Vallès                       ;Barcelona             
Lliçà D'Amunt                            ;Barcelona             
Lliça De Munt                            ;Barcelona             
Llinars Del Vallés                       ;Barcelona             
Londres                                  ;Barcelona             
L´Hospitalet De Llobregat                ;Barcelona             
Malla                                    ;Barcelona             
Manlleu                                  ;Barcelona             
Manresa                                  ;Barcelona             
Martorell                                ;Barcelona             
Massanet De La Selva                     ;Barcelona             
Matadepera                               ;Barcelona             
Mataró                                   ;Barcelona             
Molins De Rei                            ;Barcelona             
Molins Del Rei                           ;Barcelona             
Mollet                                   ;Barcelona             
Mollet Del Vallés                        ;Barcelona             
Mollet Vallès                            ;Barcelona             
Montblanc                                ;Barcelona             
Montcada I Reixac                        ;Barcelona             
Montcada I Reixac                        ;Barcelona             
Montcada-Reixac                          ;Barcelona             
Montmeló                                 ;Barcelona             
Montornès Del Vallès                     ;Barcelona             
Olesa                                    ;Barcelona             
Olesa De Montserrat                      ;Barcelona             
Olessa De Monserrat                      ;Barcelona             
Palau De Plegamans                       ;Barcelona             
Pallejà                                  ;Barcelona             
Parets Del Valles                        ;Barcelona             
Paris                                    ;Barcelona             
Piera                                    ;Barcelona             
Pineda                                   ;Barcelona             
Pineda De Mar                            ;Barcelona             
Platja D´Aro                             ;Barcelona             
Prat                                     ;Barcelona             
Prat De Llobregat                        ;Barcelona             
Prat De Llobregat, El                    ;Barcelona             
Prats Del Lluçanès                       ;Barcelona             
Premia                                   ;Barcelona             
Premiá De Mar                            ;Barcelona             
Puig-Reig                                ;Barcelona             
Ripollet                                 ;Barcelona             
Roda De Ter                              ;Barcelona             
Rubí                                     ;Barcelona             
S. Baudilio Llobregat                    ;Barcelona             
S.Andres La Barca                        ;Barcelona             
Sabadell                                 ;Barcelona             
Sabadelll                                ;Barcelona             
Sallent                                  ;Barcelona             
San Adrián De Besós                      ;Barcelona             
San Adrián Del Besos                     ;Barcelona             
San Cugat Del Vallés                     ;Barcelona             
San Juan Despí                           ;Barcelona             
San Pere De Ribes                        ;Barcelona             
San Vicente                              ;Barcelona             
Sant Adrià Besòs                         ;Barcelona             
Sant Adria De Besos                      ;Barcelona             
Sant Adrià Del Besós                     ;Barcelona             
Sant Andreu                              ;Barcelona             
Sant Andreu De La Barca                  ;Barcelona             
Sant Antoni De Vilamajor                 ;Barcelona             
Sant Boi                                 ;Barcelona             
Sant Boi De Ll.                          ;Barcelona             
Sant Boi De Llobregat                    ;Barcelona             
Sant Boi Llobregat                       ;Barcelona             
Sant Celoni                              ;Barcelona             
Sant Cugat                               ;Barcelona             
Sant Cugat Del Vallès                    ;Barcelona             
Sant Esteve Sesrovires                   ;Barcelona             
Sant Feliu                               ;Barcelona             
Sant Feliú De Llobregat                  ;Barcelona             
Sant Fruitos De Bages                    ;Barcelona             
Sant Fruitos Del Bages                   ;Barcelona             
Sant Joan De Vilatorrada                 ;Barcelona             
Sant Joan Despi                          ;Barcelona             
Sant Pere De Ribes                       ;Barcelona             
Sant Quirze Del Valles                   ;Barcelona             
Sant Sadurni D'Anoia                     ;Barcelona             
Sant Sadurní D´Anoia                     ;Barcelona             
Sant Vicenç Dels Horts                   ;Barcelona             
Santa Coloma                             ;Barcelona             
Santa Coloma De Gramanet                 ;Barcelona             
Santa Coloma De Gramenet                 ;Barcelona             
Santa Eulalia De Ronçana                 ;Barcelona             
Santa Margarita De Montbui               ;Barcelona             
Santa Perpetua                           ;Barcelona             
Santa Perpetua De La Moguda              ;Barcelona             
Santa Perpetua De Mogoda                 ;Barcelona             
Santa Perpetura De La Moguda             ;Barcelona             
Santa Susana                             ;Barcelona             
Santquirze Del Valles                    ;Barcelona             
Sitges                                   ;Barcelona             
St Cugat Del Vallès                      ;Barcelona             
St Pere De Riutdebilles                  ;Barcelona             
St. Cugat Del Vallès                     ;Barcelona             
St. Vicenç De Castellet                  ;Barcelona             
St.Celoni                                ;Barcelona             
St.Fruitos                               ;Barcelona             
St.Hipòlit Voltregà                      ;Barcelona             
St.Joan Vilatorrada                      ;Barcelona             
St.Sadurní D'Anoia                       ;Barcelona             
Sta Coloma                               ;Barcelona             
Sta Coloma Gramanet                      ;Barcelona             
Sta Perpetua De La Mogoda                ;Barcelona             
Sta Susanna                              ;Barcelona             
Suria                                    ;Barcelona             
Taradell                                 ;Barcelona             
Tarrasa                                  ;Barcelona             
Teià                                     ;Barcelona             
Terrasa                                  ;Barcelona             
Terrassa                                 ;Barcelona             
Tona                                     ;Barcelona             
Tordera                                  ;Barcelona             
Torelló                                  ;Barcelona             
Vic                                      ;Barcelona             
Viladecans                               ;Barcelona             
Vilafranca                               ;Barcelona             
Vilafranca Del Pendès                    ;Barcelona             
Vilafranca Del Penedes                   ;Barcelona             
Vilanova I La Geltrú                     ;Barcelona             
Aranda De Duero                          ;Burgos                
Burgos                                   ;Burgos                
Medina De Pomar                          ;Burgos                
Miranda De Ebro                          ;Burgos                
Quintanapalla                            ;Burgos                
Cáceres                                  ;Caceres               
Coria                                    ;Caceres               
Jarandilla De La Vera                    ;Caceres               
Logrosán                                 ;Caceres               
Madroñera                                ;Caceres               
Miajadas                                 ;Caceres               
Montehermoso                             ;Caceres               
Navalmoral De La Mata                    ;Caceres               
Plasencia                                ;Caceres               
Trujillo                                 ;Caceres               
Algeciras                                ;Cadiz                 
Arcos De La Frontera                     ;Cadiz                 
Barbate                                  ;Cadiz                 
Cádiz                                    ;Cadiz                 
Chiclana                                 ;Cadiz                 
Chiclana De La Frontera                  ;Cadiz                 
Conil De La Frontera                     ;Cadiz                 
El Puerto De Santa María                 ;Cadiz                 
Jerez                                    ;Cadiz                 
Jerez De La Frontera                     ;Cadiz                 
La Línea                                 ;Cadiz                 
La Línea De La Concepción                ;Cadiz                 
Linea De La Concepcion (La)              ;Cadiz                 
Los Barrios                              ;Cadiz                 
Los Barrios (Cádiz)                      ;Cadiz                 
Prado Del Rey                            ;Cadiz                 
Puerta Del Sur - Jerez                   ;Cadiz                 
Puerto De Santa Maria                    ;Cadiz                 
Puerto De Santa Maria (El)               ;Cadiz                 
Puerto De Sta.María                      ;Cadiz                 
Puerto Real                              ;Cadiz                 
Rota                                     ;Cadiz                 
San Fernando                             ;Cadiz                 
San Lucar De Barrameda                   ;Cadiz                 
San Roque                                ;Cadiz                 
Sanlucar De Barrameda                    ;Cadiz                 
Tarifa                                   ;Cadiz                 
Ubrique                                  ;Cadiz                 
Cabezón De La Sal                        ;Cantabria             
Camargo                                  ;Cantabria             
Cantabria                                ;Cantabria             
Cartes                                   ;Cantabria             
Castañeda                                ;Cantabria             
Castro Urdiales                          ;Cantabria             
Castro-Urdiales                          ;Cantabria             
Colindres                                ;Cantabria             
Laredo                                   ;Cantabria             
Maliaño                                  ;Cantabria             
Maliaño-Camargo                          ;Cantabria             
Matamorosa                               ;Cantabria             
Muriedas-Camargo                         ;Cantabria             
Peñacastillo                             ;Cantabria             
Peñacastillo, Santander                  ;Cantabria             
Reinosa                                  ;Cantabria             
Revilla De Camargo                       ;Cantabria             
Santander                                ;Cantabria             
Santoña                                  ;Cantabria             
Torrelavega                              ;Cantabria             
Alcocéber                                ;Castellon             
Almassora                                ;Castellon             
Almazora                                 ;Castellon             
Benicarló                                ;Castellon             
Benicassim                               ;Castellon             
Burriana                                 ;Castellon             
Castello De La Plana                     ;Castellon             
Castellón                                ;Castellon             
Castellon De La Plana                    ;Castellon             
La Vall D' Uixo                          ;Castellon             
Montanejos                               ;Castellon             
Nules                                    ;Castellon             
Onda                                     ;Castellon             
Peñiscola                                ;Castellon             
Segorbe                                  ;Castellon             
Torreblanca                              ;Castellon             
Vall D Uxió                              ;Castellon             
Vall D'Uixo (La)                         ;Castellon             
Vall D'Uxó                               ;Castellon             
Vall De Uxó                              ;Castellon             
Vall Duixo                               ;Castellon             
Vila-Real                                ;Castellon             
Vila-Real/Villarreal                     ;Castellon             
Villareal                                ;Castellon             
Villarreal                               ;Castellon             
Villarreal De Los Infantes               ;Castellon             
Vinaròs                                  ;Castellon             
Vinaroz                                  ;Castellon             
Ceuta                                    ;Ceuta                 
Alcazar De San Juan                      ;Ciudad Real           
Argamasilla De Calatrava                 ;Ciudad Real           
Bolaños De Calatrava                     ;Ciudad Real           
Ciudad Real                              ;Ciudad Real           
Daimiel                                  ;Ciudad Real           
Manzanares                               ;Ciudad Real           
Puerto Lapice                            ;Ciudad Real           
Puertollano                              ;Ciudad Real           
Tomelloso                                ;Ciudad Real           
Valdepeñas                               ;Ciudad Real           
Villarubia De Los Ojos                   ;Ciudad Real           
Aguilar De La Frontera                   ;Cordoba               
Baena                                    ;Cordoba               
Cabra                                    ;Cordoba               
Córboba                                  ;Cordoba               
Córdoba                                  ;Cordoba               
Fernan Nuñez                             ;Cordoba               
La Carlota                               ;Cordoba               
Lucena                                   ;Cordoba               
Lucena (Córdoba)                         ;Cordoba               
Montalban De Cordoba                     ;Cordoba               
Montilla                                 ;Cordoba               
Oleiros                                  ;Cordoba               
Palma Del Río                            ;Cordoba               
Peñarroya                                ;Cordoba               
Peñarroya-Pueblo Nuevo                   ;Cordoba               
Pozoblanco                               ;Cordoba               
Priego                                   ;Cordoba               
Priego De Córdoba                        ;Cordoba               
Puente Genil                             ;Cordoba               
Villa Del Río                            ;Cordoba               
Belinchon                                ;Cuenca                
Cuenca                                   ;Cuenca                
Iniesta                                  ;Cuenca                
Mota Del Cuervo                          ;Cuenca                
Motilla De Palancar                      ;Cuenca                
Motilla Del Palancar                     ;Cuenca                
Tarancón                                 ;Cuenca                
Albufeira                                ;Extranjero            
Algarve                                  ;Extranjero            
Almada                                   ;Extranjero            
Almada (Lisboa)                          ;Extranjero            
Alto De Vieiro - Leiria                  ;Extranjero            
Amadora                                  ;Extranjero            
Amsterdam                                ;Extranjero            
Andorra La Vella                         ;Extranjero            
Aveiro                                   ;Extranjero            
Belfast                                  ;Extranjero            
Berlin                                   ;Extranjero            
Biatorbágy                               ;Extranjero            
Bordeaux                                 ;Extranjero            
Braga                                    ;Extranjero            
Bragança                                 ;Extranjero            
Budapest                                 ;Extranjero            
Campanha                                 ;Extranjero            
Carnaxide                                ;Extranjero            
Casablanca                               ;Extranjero            
Castel Romano                            ;Extranjero            
Coimbra                                  ;Extranjero            
Copenhague                               ;Extranjero            
Custóias Mts - Oporto                    ;Extranjero            
Debrecen                                 ;Extranjero            
Escaldes-Engordany                       ;Extranjero            
Estoril                                  ;Extranjero            
Faro                                     ;Extranjero            
Figueira Da Foz                          ;Extranjero            
Fiumicino                                ;Extranjero            
Frankfurt                                ;Extranjero            
Funchal                                  ;Extranjero            
Guidonia Montecelio                      ;Extranjero            
Guimaraes                                ;Extranjero            
Gyor                                     ;Extranjero            
Hamburg                                  ;Extranjero            
Ingoldstadt                              ;Extranjero            
Joao Da Madeira                          ;Extranjero            
Köln                                     ;Extranjero            
Krakow                                   ;Extranjero            
Leiria                                   ;Extranjero            
Lelystad                                 ;Extranjero            
Lieusaint Cedex, Paris                   ;Extranjero            
Lisboa                                   ;Extranjero            
Lisboa (Vila Franca De Xira)             ;Extranjero            
Lisbon, 1250-140                         ;Extranjero            
London                                   ;Extranjero            
Londres                                  ;Extranjero            
Lubon                                    ;Extranjero            
Lunghezza                                ;Extranjero            
L´Ille                                   ;Extranjero            
Maia                                     ;Extranjero            
Matosinhos                               ;Extranjero            
Matosinhos-Oporto                        ;Extranjero            
Montijo                                  ;Extranjero            
Montijo (Lisboa)                         ;Extranjero            
Oberhausen                               ;Extranjero            
Oporto                                   ;Extranjero            
Ordino                                   ;Extranjero            
Ovar                                     ;Extranjero            
Paris                                    ;Extranjero            
Pas De La Casa                           ;Extranjero            
Polgár                                   ;Extranjero            
Ponta Delgada                            ;Extranjero            
Ponta Delgada (Isla)                     ;Extranjero            
Portimao                                 ;Extranjero            
Porto                                    ;Extranjero            
Portugal                                 ;Extranjero            
Prague                                   ;Extranjero            
Riello Viterbo                           ;Extranjero            
Rio De Mouro - Sintra (Lisboa)           ;Extranjero            
Rio Tinto                                ;Extranjero            
Roma                                     ;Extranjero            
Roppenheim                               ;Extranjero            
Rotterdam                                ;Extranjero            
S. João Da Madeira                       ;Extranjero            
Sant Julia De Loria                      ;Extranjero            
Senhora Da Hora (Oporto)                 ;Extranjero            
Srª Hora                                 ;Extranjero            
Tavagueira - Guia                        ;Extranjero            
Tejo                                     ;Extranjero            
Trato-Montijo                            ;Extranjero            
Troyes                                   ;Extranjero            
Vale De Morelos                          ;Extranjero            
Valença                                  ;Extranjero            
Vasco De Gama                            ;Extranjero            
Viana Do Castelo                         ;Extranjero            
Vila Nova De Gaia                        ;Extranjero            
Vila Nova De Gaia - Oporto               ;Extranjero            
Vila Real                                ;Extranjero            
Vila-Real De Tras-Os-Mont                ;Extranjero            
Vimercate                                ;Extranjero            
Viseu                                    ;Extranjero            
Warsawa                                  ;Extranjero            
Warszawa                                 ;Extranjero            
Wertheim                                 ;Extranjero            
Amer                                     ;Girona                
Anglés                                   ;Girona                
Arbúcies                                 ;Girona                
Banyoles                                 ;Girona                
Blanes                                   ;Girona                
Cadaqués                                 ;Girona                
Camprodon                                ;Girona                
Celra                                    ;Girona                
Empuriabrava                             ;Girona                
Figueras                                 ;Girona                
Figueres                                 ;Girona                
Fornells De La Selva                     ;Girona                
Gerona                                   ;Girona                
Girona                                   ;Girona                
Hostalric                                ;Girona                
L'Escala                                 ;Girona                
La Bisbal                                ;Girona                
La Bisbal D'Empordà                      ;Girona                
La Bisbal De L'Emporda                   ;Girona                
La Bisbal Del Emporda                    ;Girona                
La Jonquera                              ;Girona                
Llagostera                               ;Girona                
Lloret De Mar                            ;Girona                
Lloret Del Mar                           ;Girona                
Maçanet                                  ;Girona                
Maçanet De La Selva                      ;Girona                
Olot                                     ;Girona                
Palafrugell                              ;Girona                
Palamós                                  ;Girona                
Platja D'Aro                             ;Girona                
Platja D´Aro                             ;Girona                
Porqueres                                ;Girona                
Puigcerda                                ;Girona                
Ripoll                                   ;Girona                
Rosas                                    ;Girona                
Roses                                    ;Girona                
Salt                                     ;Girona                
Salt-Girona                              ;Girona                
San Feliu De Guixols                     ;Girona                
Sant Antoni De Calonge                   ;Girona                
Sant Feliú De Guixols                    ;Girona                
Santa Coloma De Farners                  ;Girona                
Santa Llogaia D'Alguema                  ;Girona                
St.Feliu Guíxols                         ;Girona                
St.Hilari Sacalm                         ;Girona                
St.Pere Pescador                         ;Girona                
Sta.Cristina D'Aro                       ;Girona                
Torroella De Montgrí                     ;Girona                
Tossa De Mar                             ;Girona                
Tunel Del Cadí                           ;Girona                
Vilajoan                                 ;Girona                
Vilatenim                                ;Girona                
Albolote                                 ;Granada               
Almuñecar                                ;Granada               
Armilla                                  ;Granada               
Atarfe                                   ;Granada               
Baza                                     ;Granada               
Granada                                  ;Granada               
Guadix                                   ;Granada               
Illora                                   ;Granada               
